ID,Intelligence,Blood Status,Loyalty,Gender,What are you curious about?,Affinity to Dark Arts,Magic Transportation Model,Height,Preferred Goblet Potion,"If you were a principal, how would you choose your students?",Species,Preferred Element,Kindness,House
34,32.0,Muggle Born,40.0,F,World after we die,34.92,Floo Network,118.72,The Golden Potion,"I choose students with high scores",Centaurs,,93.43,Hufflepuff
35,30.0,Muggle Born,38.0,F,Evil,66.03,Apparition,195.7,Potion that smells of plums and chocolates,,Werewolves,,62.92,Hufflepuff
36,34.0,Pure Blood,38.0,M,Magical Creatures,42.8,Portkey,188.52,Potion that smells of plums and chocolates,"By a psychological test",Humans,,45.34,Slytherine
37,30.0,Pure Blood,44.0,M,Magical Creatures,53.0,Portkey,210.44,Silvery Potion,"By a psychological test",Centaurs,,42.05,Gryffindor
38,31.0,Pure Blood,38.0,M,World after we die,64.5,Apparition,174.56,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,65.33,Hufflepuff
39,30.0,Pure Blood,38.0,M,Plants,45.82,Portkey,199.39,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,36.8,Slytherine
40,29.0,Muggle Born,39.0,F,World after we die,61.12,Apparition,134.54,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,28.8,Ravenclaw
41,34.0,Pure Blood,38.0,M,Magical Creatures,44.52,Portkey,184.83,Silvery Potion,"By a psychological test",Centaurs,,4.45,Gryffindor
42,29.0,Pure Blood,39.0,F,World after we die,57.35,Apparition,183.77,Silvery Potion,"I choose without preferences",Centaurs,,77.38,Slytherine
43,31.0,Pure Blood,42.0,M,World after we die,51.9,Floo Network,125.55,The Golden Potion,"By a psychological test",Werewolves,,74.77,Hufflepuff
44,26.0,Muggle Born,40.0,F,Evil,61.53,Apparition,84.85,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,36.56,Gryffindor
45,26.0,Pure Blood,38.0,M,Magical Creatures,32.01,Apparition,76.72,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,102.48,Ravenclaw
46,31.0,Pure Blood,42.0,M,Magical Creatures,59.64,Apparition,184.86,Potion that smells of plums and chocolates,"By a psychological test",Giants,,29.47,Ravenclaw
47,29.0,Pure Blood,40.0,F,Plants,50.99,Apparition,153.84,Potion that makes you see strange visions,"I choose students with high scores",Giants,,60.55,Hufflepuff
48,29.0,Muggle Born,38.0,M,Magical Creatures,53.48,Floo Network,155.81,Silvery Potion,"By a difficult exam",Centaurs,,57.38,Hufflepuff
49,28.0,Muggle Born,37.0,M,Magical Creatures,37.6,Floo Network,159.48,,"I choose without preferences",Werewolves,,47.84,Slytherine
50,29.0,Pure Blood,38.0,M,Magical Creatures,39.27,Portkey,149.27,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,66.86,Slytherine
51,31.0,Muggle Born,39.0,F,Plants,45.48,Floo Network,195.73,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,56.23,Slytherine
52,29.0,Pure Blood,35.0,M,Plants,57.11,Portkey,159.65,Silvery Potion,"By a difficult exam",Werewolves,,55.87,Hufflepuff
53,23.0,Muggle Born,38.0,M,Magical Creatures,48.08,Portkey,150.41,Silvery Potion,"By a difficult exam",Giants,,26.19,Ravenclaw
54,34.0,Pure Blood,38.0,M,Evil,45.61,Apparition,115.59,The Golden Potion,"By a psychological test",Centaurs,,32.06,Hufflepuff
55,29.0,Muggle Born,39.0,M,World after we die,48.74,Floo Network,134.93,Silvery Potion,"I choose students with high scores",Centaurs,,48.33,Slytherine
56,29.0,Muggle Born,38.0,M,Magical Creatures,43.12,Portkey,152.21,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,29.7,Slytherine
57,30.0,Muggle Born,42.0,M,World after we die,60.89,Portkey,81.25,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,64.55,Hufflepuff
58,29.0,Muggle Born,39.0,M,World after we die,51.63,Portkey,186.08,Silvery Potion,"By a difficult exam",Werewolves,,54.66,Hufflepuff
59,26.0,Pure Blood,39.0,M,Evil,55.39,Apparition,168.5,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,61.41,Hufflepuff
60,26.0,Pure Blood,41.0,M,Magical Creatures,52.1,Floo Network,166.44,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,42.77,Gryffindor
61,30.0,Pure Blood,41.0,M,Magical Creatures,39.9,Floo Network,180.85,Silvery Potion,"I choose students with high scores",Werewolves,,27.22,Gryffindor
62,32.0,Pure Blood,41.0,M,Magical Creatures,38.52,Apparition,158.62,Potion that smells of plums and chocolates,"By a psychological test",Giants,,82.33,Ravenclaw
63,29.0,Muggle Born,39.0,F,Plants,44.05,Floo Network,141.68,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,47.27,Slytherine
64,32.0,Pure Blood,38.0,M,Magical Creatures,57.46,Portkey,201.94,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,61.54,Gryffindor
65,29.0,Pure Blood,38.0,F,World after we die,30.62,Portkey,170.21,Silvery Potion,"By a difficult exam",Werewolves,,46.75,Slytherine
66,25.0,Pure Blood,41.0,M,World after we die,43.35,Apparition,244.94,Silvery Potion,"By a difficult exam",Werewolves,,63.22,Ravenclaw
67,29.0,Pure Blood,40.0,M,Evil,53.15,Apparition,147.53,Potion that makes you see strange visions,"By a difficult exam",Giants,,48.32,Ravenclaw
68,26.0,Pure Blood,41.0,F,World after we die,57.21,Apparition,161.46,Potion that makes you see strange visions,"I choose students with high scores",,,70.84,Hufflepuff
69,31.0,Pure Blood,41.0,M,World after we die,55.56,Apparition,218.22,Silvery Potion,"By a difficult exam",Werewolves,,8.55,Slytherine
70,27.0,Muggle Born,40.0,F,Magical Creatures,45.37,Floo Network,143.43,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,37.62,Hufflepuff
71,29.0,Muggle Born,40.0,M,Evil,54.11,Portkey,255.81,Silvery Potion,"I choose students with high scores",Giants,,16.95,Ravenclaw
72,33.0,Pure Blood,36.0,M,Magical Creatures,57.07,Floo Network,136.81,Potion that makes you see strange visions,"By a difficult exam",Giants,,51.45,Ravenclaw
73,28.0,Muggle Born,37.0,M,Magical Creatures,40.7,Portkey,157.82,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,51.95,Slytherine
74,28.0,Pure Blood,37.0,F,Evil,59.01,Portkey,148.41,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,59.5,Gryffindor
75,33.0,Muggle Born,35.0,M,Magical Creatures,57.87,Floo Network,145.24,The Golden Potion,"By a difficult exam",Werewolves,,37.19,Hufflepuff
76,26.0,Muggle Born,41.0,F,Plants,52.32,Apparition,202.92,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,73.68,Slytherine
77,33.0,Muggle Born,42.0,M,Plants,57.83,Apparition,172.44,Silvery Potion,"By a psychological test",Centaurs,,43.51,Hufflepuff
78,26.0,Muggle Born,38.0,M,Magical Creatures,44.29,Apparition,176.34,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,81.97,Gryffindor
79,29.0,Pure Blood,42.0,M,Plants,51.12,Apparition,256.05,Silvery Potion,"By a difficult exam",Giants,,50.49,Gryffindor
80,27.0,Muggle Born,40.0,M,Plants,48.76,Portkey,133.28,The Golden Potion,"By a psychological test",Humans,,28.14,Ravenclaw
81,29.0,Pure Blood,37.0,F,Plants,59.6,Apparition,196.16,Silvery Potion,"By a psychological test",Giants,,22.0,Gryffindor
82,30.0,Pure Blood,37.0,F,Magical Creatures,57.74,Portkey,185.16,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,76.72,Gryffindor
83,33.0,Pure Blood,39.0,F,World after we die,68.26,Floo Network,160.04,Potion that makes you see strange visions,"I choose students with high scores",Centaurs,,50.08,Ravenclaw
84,29.0,Pure Blood,41.0,F,Evil,65.9,Apparition,138.24,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,28.02,Gryffindor
85,33.0,Muggle Born,39.0,M,Magical Creatures,48.28,Apparition,126.97,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,26.25,Gryffindor
86,29.0,Muggle Born,42.0,M,Magical Creatures,27.7,Portkey,151.95,Potion that makes you see strange visions,"By a psychological test",Giants,,55.13,Gryffindor
87,30.0,Pure Blood,39.0,M,Magical Creatures,58.66,Portkey,165.08,Potion that makes you see strange visions,"I choose students with high scores",Centaurs,Fire,53.41,Ravenclaw
88,32.0,Pure Blood,38.0,F,Magical Creatures,57.38,Apparition,181.06,Silvery Potion,"By a difficult exam",Centaurs,,36.43,Ravenclaw
89,31.0,Pure Blood,40.0,M,Magical Creatures,50.11,Portkey,151.21,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,69.27,Hufflepuff
90,27.0,Pure Blood,39.0,M,Magical Creatures,34.5,Apparition,109.17,Silvery Potion,"I choose students with high scores",Werewolves,,57.76,Slytherine
91,26.0,Pure Blood,42.0,F,World after we die,36.7,Flying,55.66,The Golden Potion,"By a difficult exam",Werewolves,,36.27,Gryffindor
92,33.0,Muggle Born,39.0,M,Evil,45.37,Floo Network,196.19,Silvery Potion,"By a difficult exam",Humans,,29.75,Ravenclaw
93,29.0,Pure Blood,42.0,M,World after we die,50.95,Portkey,101.07,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,75.23,Gryffindor
94,24.0,Pure Blood,41.0,F,Evil,40.49,Flying,152.19,The Golden Potion,"I choose students with high scores",Centaurs,,55.12,Hufflepuff
95,34.0,Pure Blood,40.0,F,World after we die,63.76,Portkey,144.2,Silvery Potion,"By a psychological test",Werewolves,,53.26,Gryffindor
96,40.0,Muggle Born,39.0,F,Magical Creatures,53.68,Apparition,157.16,Silvery Potion,"By a difficult exam",Centaurs,,85.56,Hufflepuff
97,27.0,Muggle Born,43.0,F,World after we die,56.13,Apparition,183.91,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,43.76,Slytherine
98,27.0,Pure Blood,37.0,M,Magical Creatures,50.79,Portkey,177.09,Potion that smells of plums and chocolates,"By a psychological test",Giants,,31.74,Slytherine
99,30.0,Muggle Born,42.0,M,Magical Creatures,33.21,Portkey,158.17,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,61.05,Slytherine
100,36.0,Muggle Born,42.0,F,World after we die,53.65,Portkey,129.47,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,73.16,Gryffindor
101,33.0,Pure Blood,41.0,F,Magical Creatures,30.8,Flying,99.31,Silvery Potion,"By a difficult exam",Centaurs,,56.75,Slytherine
102,34.0,Muggle Born,39.0,F,Magical Creatures,55.32,Portkey,102.0,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,63.48,Gryffindor
103,25.0,Pure Blood,40.0,M,Plants,67.02,Portkey,169.37,Potion that smells of plums and chocolates,"By a psychological test",Giants,,54.45,Ravenclaw
104,29.0,Muggle Born,40.0,M,Evil,51.5,Portkey,171.87,Silvery Potion,"By a difficult exam",Werewolves,,20.18,Slytherine
105,26.0,Pure Blood,42.0,F,Evil,38.57,Floo Network,174.69,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,30.69,Hufflepuff
106,28.0,Muggle Born,40.0,F,World after we die,39.93,Portkey,206.62,The Golden Potion,"I choose without preferences",Centaurs,,56.62,Hufflepuff
107,31.0,Muggle Born,37.0,F,World after we die,42.0,Apparition,194.5,Silvery Potion,"By a difficult exam",,,68.07,Gryffindor
108,29.0,Pure Blood,35.0,M,World after we die,41.87,Flying,180.39,The Golden Potion,"By a difficult exam",Werewolves,,41.03,Hufflepuff
109,34.0,Pure Blood,40.0,F,Plants,45.44,Apparition,131.59,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,37.71,Hufflepuff
110,27.0,Pure Blood,40.0,M,Magical Creatures,48.91,Floo Network,198.46,Silvery Potion,"By a psychological test",Humans,,49.19,Ravenclaw
111,31.0,Muggle Born,39.0,F,World after we die,44.6,Floo Network,115.49,Silvery Potion,"By a psychological test",Centaurs,,44.54,Hufflepuff
112,25.0,Pure Blood,43.0,F,World after we die,55.99,Flying,170.62,Potion that makes you see strange visions,"By a psychological test",Werewolves,,20.86,Gryffindor
113,30.0,Pure Blood,36.0,M,Magical Creatures,43.19,Portkey,147.85,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,72.78,Ravenclaw
114,22.0,Pure Blood,39.0,M,Plants,42.22,Flying,111.52,Silvery Potion,"I choose students with high scores",Humans,,42.7,Hufflepuff
115,30.0,Pure Blood,38.0,F,World after we die,46.92,Floo Network,78.3,The Golden Potion,"I choose without preferences",Centaurs,,47.89,Slytherine
116,27.0,Pure Blood,42.0,M,Magical Creatures,47.04,Portkey,105.71,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,49.36,Ravenclaw
117,32.0,Muggle Born,40.0,M,Evil,36.51,Apparition,103.63,Silvery Potion,"By a psychological test",Werewolves,,15.9,Ravenclaw
118,31.0,Pure Blood,38.0,M,,46.21,Portkey,149.96,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,76.9,Slytherine
119,33.0,Muggle Born,41.0,M,Magical Creatures,41.43,Apparition,169.88,The Golden Potion,"By a difficult exam",Centaurs,,108.54,Slytherine
120,31.0,Muggle Born,38.0,F,Evil,55.04,Floo Network,144.6,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,53.7,Ravenclaw
121,29.0,Pure Blood,37.0,M,Magical Creatures,60.17,Apparition,134.02,Silvery Potion,"By a difficult exam",Centaurs,,41.74,Hufflepuff
122,34.0,Muggle Born,38.0,M,Plants,35.78,Portkey,197.59,The Golden Potion,,Centaurs,,45.17,Gryffindor
123,32.0,Muggle Born,40.0,M,Plants,39.52,Floo Network,209.42,Silvery Potion,"I choose students with high scores",Werewolves,,58.96,Ravenclaw
124,28.0,Muggle Born,37.0,M,Magical Creatures,40.93,Portkey,299.76,Silvery Potion,"By a difficult exam",Werewolves,,42.62,Gryffindor
125,34.0,Pure Blood,42.0,M,Magical Creatures,50.6,Portkey,197.31,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,50.67,Hufflepuff
126,27.0,Muggle Born,39.0,M,Plants,30.03,Portkey,147.63,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,56.32,Ravenclaw
127,30.0,Muggle Born,41.0,M,Plants,42.67,Portkey,63.24,Potion that makes you see strange visions,"By a difficult exam",Werewolves,,45.37,Gryffindor
128,31.0,Pure Blood,40.0,F,Plants,36.54,Portkey,228.16,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,76.53,Slytherine
129,26.0,Pure Blood,42.0,F,Plants,59.32,Floo Network,181.95,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,70.89,Hufflepuff
130,31.0,Pure Blood,40.0,M,World after we die,50.04,Portkey,183.91,Silvery Potion,,Centaurs,,54.28,Gryffindor
131,26.0,Muggle Born,42.0,F,World after we die,47.92,Portkey,182.23,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,75.56,Slytherine
132,31.0,Pure Blood,42.0,F,Magical Creatures,54.99,Portkey,163.8,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,49.29,Hufflepuff
133,25.0,Pure Blood,38.0,M,World after we die,58.04,Portkey,102.98,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,41.25,Hufflepuff
134,31.0,Pure Blood,41.0,M,Plants,43.91,Portkey,124.66,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,63.18,Slytherine
135,32.0,Pure Blood,42.0,M,Magical Creatures,78.93,Apparition,118.04,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,72.25,Gryffindor
136,27.0,Muggle Born,39.0,M,Magical Creatures,40.4,Portkey,194.34,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,50.64,Hufflepuff
137,35.0,Pure Blood,45.0,F,World after we die,34.14,Portkey,138.58,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,56.3,Hufflepuff
138,28.0,Pure Blood,37.0,F,Magical Creatures,48.76,Apparition,166.67,Silvery Potion,"By a psychological test",Werewolves,,106.38,Ravenclaw
139,32.0,Pure Blood,37.0,F,Magical Creatures,51.66,Floo Network,114.02,Silvery Potion,"I choose without preferences",Centaurs,,43.82,Ravenclaw
140,28.0,Pure Blood,42.0,M,Magical Creatures,44.16,Portkey,182.6,Silvery Potion,"By a difficult exam",Giants,,31.55,Ravenclaw
141,27.0,Pure Blood,36.0,M,World after we die,37.99,Portkey,153.33,Potion that makes you see strange visions,"By a psychological test",Werewolves,,72.04,Hufflepuff
142,24.0,Pure Blood,33.0,M,Plants,55.74,Apparition,118.11,The Golden Potion,"I choose without preferences",Centaurs,,63.31,Hufflepuff
143,29.0,Pure Blood,37.0,M,Plants,45.91,Apparition,202.14,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,5.33,Ravenclaw
144,30.0,Pure Blood,41.0,F,World after we die,50.41,Floo Network,200.0,Silvery Potion,"I choose students with high scores",Centaurs,,94.34,Slytherine
145,33.0,Muggle Born,39.0,F,Evil,68.42,Apparition,219.54,Silvery Potion,"I choose without preferences",Werewolves,,31.92,Hufflepuff
146,31.0,Pure Blood,36.0,F,Magical Creatures,49.74,Apparition,182.09,Silvery Potion,"By a difficult exam",Werewolves,,63.2,Ravenclaw
147,27.0,Muggle Born,42.0,M,World after we die,56.76,Floo Network,108.17,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,54.46,Hufflepuff
148,30.0,Muggle Born,38.0,M,World after we die,44.76,Portkey,176.08,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,40.69,Hufflepuff
149,29.0,Muggle Born,39.0,F,Magical Creatures,35.51,Portkey,142.67,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,76.87,Hufflepuff
150,26.0,Muggle Born,38.0,F,Magical Creatures,51.66,Portkey,246.35,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,60.61,Ravenclaw
151,34.0,Pure Blood,38.0,M,Plants,49.51,Flying,127.44,The Golden Potion,"By a difficult exam",Werewolves,,45.66,Gryffindor
152,29.0,Muggle Born,39.0,F,World after we die,51.86,Flying,159.77,The Golden Potion,"By a difficult exam",Werewolves,,35.52,Slytherine
153,25.0,Muggle Born,40.0,F,Magical Creatures,63.22,Portkey,128.33,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,Fire,86.62,Slytherine
154,32.0,Muggle Born,38.0,F,Magical Creatures,53.49,Portkey,147.58,Silvery Potion,"By a psychological test",Centaurs,,61.78,Gryffindor
155,33.0,Muggle Born,40.0,F,Evil,49.16,Apparition,159.53,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,66.93,Hufflepuff
156,35.0,Muggle Born,40.0,F,Magical Creatures,29.86,Apparition,187.5,The Golden Potion,"By a difficult exam",Werewolves,,70.72,Hufflepuff
157,38.0,Pure Blood,39.0,M,Magical Creatures,43.28,Portkey,176.05,The Golden Potion,"I choose students with high scores",Centaurs,,37.91,Hufflepuff
158,32.0,Pure Blood,39.0,F,World after we die,48.21,Apparition,190.08,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,24.37,Hufflepuff
159,24.0,Pure Blood,39.0,F,Magical Creatures,49.62,Portkey,114.49,Silvery Potion,"By a psychological test",Centaurs,,42.59,Gryffindor
160,33.0,Muggle Born,37.0,F,Plants,74.91,Floo Network,174.78,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,55.99,Hufflepuff
161,25.0,Pure Blood,43.0,F,Evil,40.46,Floo Network,119.95,Silvery Potion,"By a difficult exam",Centaurs,,58.53,Slytherine
162,35.0,Pure Blood,44.0,M,Plants,40.42,Floo Network,169.95,Silvery Potion,"By a difficult exam",Werewolves,,19.72,Hufflepuff
163,27.0,Pure Blood,35.0,M,Plants,67.43,Flying,197.93,Silvery Potion,"By a psychological test",,,39.01,Slytherine
164,26.0,Pure Blood,36.0,F,Plants,55.99,Apparition,167.31,The Golden Potion,"I choose without preferences",Giants,,22.59,Ravenclaw
165,24.0,Muggle Born,40.0,M,World after we die,48.21,Portkey,218.26,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,63.17,Gryffindor
166,27.0,Muggle Born,38.0,F,World after we die,49.64,Apparition,164.76,Potion that makes you see strange visions,"By a psychological test",,,38.8,Slytherine
167,30.0,Pure Blood,38.0,M,Magical Creatures,54.75,Apparition,253.28,Silvery Potion,"By a difficult exam",Giants,,69.02,Ravenclaw
168,27.0,Pure Blood,38.0,F,World after we die,52.57,Portkey,127.59,Potion that makes you see strange visions,"I choose without preferences",Werewolves,,29.78,Ravenclaw
169,32.0,Pure Blood,38.0,F,World after we die,32.21,Apparition,96.24,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,67.38,Gryffindor
170,32.0,Muggle Born,38.0,M,World after we die,50.97,Flying,183.22,Silvery Potion,"By a difficult exam",Centaurs,,47.94,Gryffindor
171,30.0,Pure Blood,41.0,M,World after we die,39.41,Flying,214.64,Silvery Potion,"By a difficult exam",Centaurs,,7.81,Ravenclaw
172,29.0,Pure Blood,41.0,M,Magical Creatures,34.19,Apparition,224.54,Silvery Potion,"By a difficult exam",Werewolves,,64.53,Gryffindor
173,28.0,Muggle Born,38.0,F,Magical Creatures,36.38,Portkey,168.0,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,35.77,Ravenclaw
174,24.0,Muggle Born,37.0,M,World after we die,76.43,Portkey,141.13,The Golden Potion,"By a difficult exam",Giants,,78.33,Ravenclaw
175,29.0,Pure Blood,39.0,M,World after we die,53.13,Flying,111.64,Silvery Potion,"By a psychological test",Centaurs,,59.97,Ravenclaw
176,31.0,Pure Blood,41.0,M,Magical Creatures,40.06,Portkey,182.19,Silvery Potion,"I choose without preferences",Werewolves,,23.66,Hufflepuff
177,27.0,Muggle Born,42.0,M,Magical Creatures,18.5,Flying,154.82,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,71.39,Hufflepuff
178,28.0,Muggle Born,39.0,F,Plants,52.91,Portkey,145.84,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,39.36,Slytherine
179,30.0,Pure Blood,38.0,M,World after we die,40.88,Portkey,175.65,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,4.69,Slytherine
180,26.0,Muggle Born,38.0,F,World after we die,50.18,Apparition,113.75,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,25.11,Slytherine
181,24.0,Pure Blood,38.0,M,Plants,51.3,Flying,154.85,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,75.37,Hufflepuff
